Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-16 09:00:00+08:00,0.35,0.35,0.35,0.35,0,0,0
2020-06-16 09:01:00+08:00,0.345,0.345,0.345,0.345,1383000,0,0
2020-06-16 09:03:00+08:00,0.345,0.345,0.34,0.34,341000,0,0
2020-06-16 09:04:00+08:00,0.34,0.345,0.34,0.345,325000,0,0
2020-06-16 09:05:00+08:00,0.34,0.34,0.34,0.34,161400,0,0
2020-06-16 09:06:00+08:00,0.34,0.34,0.34,0.34,30000,0,0
2020-06-16 09:07:00+08:00,0.34,0.34,0.34,0.34,6000,0,0
2020-06-16 09:08:00+08:00,0.34,0.34,0.34,0.34,439300,0,0
2020-06-16 09:10:00+08:00,0.34,0.34,0.34,0.34,1000,0,0
2020-06-16 09:11:00+08:00,0.34,0.34,0.34,0.34,4000,0,0
2020-06-16 09:12:00+08:00,0.345,0.345,0.345,0.345,405000,0,0
2020-06-16 09:13:00+08:00,0.345,0.345,0.345,0.345,40000,0,0
2020-06-16 09:15:00+08:00,0.345,0.345,0.345,0.345,5000,0,0
2020-06-16 09:16:00+08:00,0.34,0.34,0.34,0.34,530000,0,0
2020-06-16 09:17:00+08:00,0.34,0.34,0.34,0.34,63700,0,0
2020-06-16 09:18:00+08:00,0.34,0.34,0.34,0.34,50000,0,0
2020-06-16 09:20:00+08:00,0.34,0.34,0.335,0.335,25000,0,0
2020-06-16 09:21:00+08:00,0.335,0.335,0.335,0.335,50000,0,0
2020-06-16 09:22:00+08:00,0.34,0.34,0.335,0.34,38000,0,0
2020-06-16 09:23:00+08:00,0.34,0.34,0.34,0.34,40000,0,0
2020-06-16 09:25:00+08:00,0.34,0.34,0.34,0.34,90000,0,0
2020-06-16 09:26:00+08:00,0.34,0.34,0.34,0.34,159000,0,0
2020-06-16 09:27:00+08:00,0.34,0.34,0.34,0.34,111300,0,0
2020-06-16 09:28:00+08:00,0.34,0.345,0.34,0.345,25000,0,0
2020-06-16 09:29:00+08:00,0.345,0.345,0.345,0.345,105000,0,0
2020-06-16 09:30:00+08:00,0.345,0.345,0.345,0.345,683700,0,0
2020-06-16 09:31:00+08:00,0.345,0.345,0.345,0.345,15000,0,0
2020-06-16 09:32:00+08:00,0.345,0.345,0.345,0.345,215000,0,0
2020-06-16 09:33:00+08:00,0.345,0.345,0.345,0.345,146300,0,0
2020-06-16 09:35:00+08:00,0.345,0.345,0.345,0.345,10000,0,0
2020-06-16 09:38:00+08:00,0.345,0.345,0.345,0.345,25000,0,0
2020-06-16 09:39:00+08:00,0.345,0.345,0.345,0.345,767800,0,0
2020-06-16 09:40:00+08:00,0.345,0.345,0.345,0.345,10000,0,0
2020-06-16 09:41:00+08:00,0.345,0.345,0.345,0.345,40000,0,0
2020-06-16 09:42:00+08:00,0.35,0.355,0.35,0.355,1204500,0,0
2020-06-16 09:43:00+08:00,0.355,0.355,0.355,0.355,162000,0,0
2020-06-16 09:44:00+08:00,0.355,0.355,0.345,0.35,811000,0,0
2020-06-16 09:45:00+08:00,0.355,0.355,0.35,0.35,673000,0,0
2020-06-16 09:46:00+08:00,0.35,0.35,0.35,0.35,260000,0,0
2020-06-16 09:47:00+08:00,0.35,0.35,0.35,0.35,255400,0,0
2020-06-16 09:48:00+08:00,0.35,0.35,0.35,0.35,35000,0,0
2020-06-16 09:49:00+08:00,0.35,0.35,0.35,0.35,6000,0,0
2020-06-16 09:50:00+08:00,0.35,0.35,0.345,0.345,30000,0,0
2020-06-16 09:51:00+08:00,0.35,0.35,0.345,0.345,80000,0,0
2020-06-16 09:52:00+08:00,0.35,0.35,0.35,0.35,18000,0,0
2020-06-16 09:53:00+08:00,0.35,0.35,0.345,0.35,60000,0,0
2020-06-16 09:54:00+08:00,0.35,0.35,0.35,0.35,38000,0,0
2020-06-16 09:56:00+08:00,0.345,0.345,0.345,0.345,1861500,0,0
2020-06-16 09:57:00+08:00,0.345,0.345,0.345,0.345,105000,0,0
2020-06-16 09:58:00+08:00,0.345,0.345,0.345,0.345,170000,0,0
2020-06-16 10:02:00+08:00,0.345,0.345,0.345,0.345,5000,0,0
2020-06-16 10:03:00+08:00,0.345,0.345,0.345,0.345,22300,0,0
2020-06-16 10:08:00+08:00,0.345,0.345,0.345,0.345,100000,0,0
2020-06-16 10:09:00+08:00,0.345,0.345,0.345,0.345,130000,0,0
2020-06-16 10:10:00+08:00,0.345,0.345,0.345,0.345,368000,0,0
2020-06-16 10:13:00+08:00,0.345,0.345,0.345,0.345,20000,0,0
2020-06-16 10:14:00+08:00,0.345,0.345,0.345,0.345,10000,0,0
2020-06-16 10:16:00+08:00,0.345,0.345,0.345,0.345,300,0,0
2020-06-16 10:19:00+08:00,0.345,0.345,0.345,0.345,20000,0,0
2020-06-16 10:21:00+08:00,0.345,0.345,0.345,0.345,5000,0,0
2020-06-16 10:25:00+08:00,0.35,0.35,0.35,0.35,20000,0,0
2020-06-16 10:27:00+08:00,0.35,0.35,0.35,0.35,40000,0,0
2020-06-16 10:28:00+08:00,0.35,0.35,0.35,0.35,60000,0,0
2020-06-16 10:31:00+08:00,0.35,0.35,0.35,0.35,20000,0,0
2020-06-16 10:33:00+08:00,0.35,0.35,0.35,0.35,20000,0,0
2020-06-16 10:34:00+08:00,0.35,0.35,0.35,0.35,30000,0,0
2020-06-16 10:35:00+08:00,0.35,0.35,0.35,0.35,1250400,0,0
2020-06-16 10:36:00+08:00,0.35,0.35,0.35,0.35,30000,0,0
2020-06-16 10:37:00+08:00,0.35,0.35,0.35,0.35,20000,0,0
2020-06-16 10:38:00+08:00,0.35,0.35,0.35,0.35,32000,0,0
2020-06-16 10:39:00+08:00,0.35,0.35,0.35,0.35,15000,0,0
2020-06-16 10:41:00+08:00,0.35,0.35,0.35,0.35,345800,0,0
2020-06-16 10:43:00+08:00,0.35,0.35,0.35,0.35,10000,0,0
2020-06-16 10:44:00+08:00,0.35,0.35,0.35,0.35,3000,0,0
2020-06-16 10:48:00+08:00,0.35,0.35,0.35,0.35,590200,0,0
2020-06-16 10:50:00+08:00,0.35,0.35,0.35,0.35,23400,0,0
2020-06-16 10:51:00+08:00,0.35,0.355,0.35,0.355,20000,0,0
2020-06-16 10:53:00+08:00,0.355,0.355,0.35,0.35,61200,0,0
2020-06-16 10:54:00+08:00,0.355,0.355,0.355,0.355,120000,0,0
2020-06-16 10:56:00+08:00,0.355,0.355,0.355,0.355,20000,0,0
2020-06-16 10:57:00+08:00,0.355,0.355,0.35,0.35,380000,0,0
2020-06-16 10:58:00+08:00,0.355,0.355,0.355,0.355,1130600,0,0
2020-06-16 10:59:00+08:00,0.355,0.355,0.355,0.355,760000,0,0
2020-06-16 11:00:00+08:00,0.355,0.355,0.355,0.355,193000,0,0
2020-06-16 11:03:00+08:00,0.355,0.355,0.355,0.355,15000,0,0
2020-06-16 11:04:00+08:00,0.355,0.355,0.355,0.355,960000,0,0
2020-06-16 11:05:00+08:00,0.355,0.355,0.355,0.355,240000,0,0
2020-06-16 11:06:00+08:00,0.355,0.355,0.355,0.355,60000,0,0
2020-06-16 11:07:00+08:00,0.355,0.355,0.355,0.355,76000,0,0
2020-06-16 11:08:00+08:00,0.355,0.355,0.355,0.355,10000,0,0
2020-06-16 11:09:00+08:00,0.36,0.36,0.36,0.36,40000,0,0
2020-06-16 11:11:00+08:00,0.36,0.36,0.36,0.36,300000,0,0
2020-06-16 11:12:00+08:00,0.36,0.36,0.36,0.36,80000,0,0
2020-06-16 11:13:00+08:00,0.36,0.36,0.355,0.355,30000,0,0
2020-06-16 11:14:00+08:00,0.36,0.36,0.36,0.36,30000,0,0
2020-06-16 11:15:00+08:00,0.36,0.36,0.36,0.36,400000,0,0
2020-06-16 11:16:00+08:00,0.36,0.36,0.36,0.36,41100,0,0
2020-06-16 11:17:00+08:00,0.36,0.36,0.36,0.36,140000,0,0
2020-06-16 11:18:00+08:00,0.36,0.36,0.36,0.36,1185000,0,0
2020-06-16 11:19:00+08:00,0.36,0.36,0.36,0.36,1099300,0,0
2020-06-16 11:20:00+08:00,0.365,0.365,0.365,0.365,359900,0,0
2020-06-16 11:21:00+08:00,0.365,0.365,0.365,0.365,429900,0,0
2020-06-16 11:22:00+08:00,0.365,0.37,0.365,0.37,1494200,0,0
2020-06-16 11:23:00+08:00,0.37,0.37,0.365,0.37,1287500,0,0
