Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-15 09:00:00+08:00,0.01,0.01,0.01,0.01,0,0,0
2020-06-15 09:12:00+08:00,0.01,0.01,0.01,0.01,2170000,0,0
2020-06-15 09:13:00+08:00,0.01,0.01,0.01,0.01,50000,0,0
2020-06-15 09:16:00+08:00,0.01,0.01,0.01,0.01,100000,0,0
2020-06-15 09:17:00+08:00,0.01,0.01,0.01,0.01,75000,0,0
2020-06-15 09:31:00+08:00,0.01,0.01,0.01,0.01,1565100,0,0
2020-06-15 09:32:00+08:00,0.01,0.01,0.01,0.01,1500000,0,0
2020-06-15 09:35:00+08:00,0.01,0.01,0.01,0.01,50000,0,0
2020-06-15 09:44:00+08:00,0.01,0.01,0.01,0.01,100000,0,0
2020-06-15 09:45:00+08:00,0.01,0.01,0.01,0.01,200000,0,0
2020-06-15 09:46:00+08:00,0.01,0.01,0.01,0.01,450000,0,0
2020-06-15 09:50:00+08:00,0.01,0.01,0.01,0.01,200000,0,0
2020-06-15 09:52:00+08:00,0.01,0.01,0.01,0.01,284000,0,0
2020-06-15 09:53:00+08:00,0.01,0.01,0.01,0.01,200000,0,0
2020-06-15 09:58:00+08:00,0.01,0.01,0.01,0.01,100000,0,0
2020-06-15 10:00:00+08:00,0.01,0.01,0.01,0.01,20000,0,0
2020-06-15 10:01:00+08:00,0.01,0.01,0.01,0.01,20000,0,0
2020-06-15 10:04:00+08:00,0.01,0.01,0.01,0.01,400000,0,0
2020-06-15 10:10:00+08:00,0.01,0.01,0.01,0.01,411000,0,0
2020-06-15 10:11:00+08:00,0.01,0.01,0.01,0.01,270000,0,0
2020-06-15 10:12:00+08:00,0.01,0.01,0.01,0.01,390000,0,0
2020-06-15 10:15:00+08:00,0.01,0.01,0.01,0.01,500000,0,0
2020-06-15 10:16:00+08:00,0.01,0.01,0.01,0.01,600000,0,0
2020-06-15 10:17:00+08:00,0.01,0.01,0.01,0.01,4000,0,0
2020-06-15 10:29:00+08:00,0.01,0.01,0.01,0.01,19000,0,0
2020-06-15 10:32:00+08:00,0.01,0.01,0.01,0.01,100000,0,0
2020-06-15 10:39:00+08:00,0.01,0.01,0.01,0.01,502000,0,0
2020-06-15 11:04:00+08:00,0.01,0.01,0.01,0.01,50000,0,0
2020-06-15 11:40:00+08:00,0.01,0.01,0.01,0.01,200000,0,0
2020-06-15 11:56:00+08:00,0.01,0.01,0.01,0.01,50000,0,0
2020-06-15 12:01:00+08:00,0.01,0.01,0.01,0.01,50000,0,0
2020-06-15 14:30:00+08:00,0.01,0.01,0.01,0.01,300000,0,0
2020-06-15 14:58:00+08:00,0.01,0.01,0.01,0.01,700,0,0
2020-06-15 14:59:00+08:00,0.01,0.01,0.01,0.01,101300,0,0
2020-06-15 15:00:00+08:00,0.01,0.01,0.01,0.01,100000,0,0
2020-06-15 15:33:00+08:00,0.01,0.01,0.01,0.01,500000,0,0
2020-06-15 15:51:00+08:00,0.01,0.01,0.01,0.01,1000000,0,0
