Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-12 09:00:00+08:00,0.47,0.47,0.47,0.47,0,0,0
2020-06-12 09:01:00+08:00,0.47,0.47,0.47,0.47,12100,0,0
2020-06-12 09:06:00+08:00,0.465,0.465,0.465,0.465,36000,0,0
2020-06-12 09:09:00+08:00,0.465,0.465,0.465,0.465,3000,0,0
2020-06-12 09:28:00+08:00,0.47,0.47,0.47,0.47,10000,0,0
2020-06-12 09:40:00+08:00,0.465,0.465,0.465,0.465,5000,0,0
2020-06-12 09:50:00+08:00,0.47,0.47,0.47,0.47,10000,0,0
2020-06-12 09:52:00+08:00,0.47,0.47,0.47,0.47,10000,0,0
2020-06-12 10:22:00+08:00,0.465,0.465,0.465,0.465,10000,0,0
2020-06-12 10:32:00+08:00,0.47,0.47,0.47,0.47,700,0,0
2020-06-12 10:38:00+08:00,0.465,0.465,0.465,0.465,50100,0,0
2020-06-12 10:48:00+08:00,0.465,0.465,0.465,0.465,9900,0,0
2020-06-12 10:51:00+08:00,0.465,0.465,0.465,0.465,100,0,0
2020-06-12 10:57:00+08:00,0.465,0.465,0.465,0.465,15000,0,0
2020-06-12 11:12:00+08:00,0.465,0.465,0.465,0.465,15000,0,0
2020-06-12 11:46:00+08:00,0.465,0.465,0.465,0.465,40000,0,0
2020-06-12 11:54:00+08:00,0.465,0.465,0.465,0.465,800,0,0
2020-06-12 14:30:00+08:00,0.47,0.47,0.47,0.47,29300,0,0
2020-06-12 14:43:00+08:00,0.47,0.47,0.47,0.47,10000,0,0
2020-06-12 15:17:00+08:00,0.475,0.475,0.475,0.475,7100,0,0
